scope,signal_group,fire_phase,fired_n,tp_n,fp_n,hardstop_denom_all,recall,precision,fires_per_hour_median,lead_median_min,lead_min_min,lead_max_min,S_mean_derisk_upperbound,C_mean_fp_final_pl,C_by_BasketClose,C_by_HTE,p_star,precision_margin,low_n_flag,S_note,provisional_status,scope_tag
in6run,SIG-MA,PRE_HEDGE_ONLY,29,3,26,37,0.0811,0.1034,0.485,93.7,55.5,319.7,-3574.3,397.8,397.8,NA,-0.1252,0.2287,LOW_N,S=theoretical full-derisk upper bound; NOT a Close-Priority/Hedge counterfactual,V1_3_AUTHORITATIVE,in-sample diagnostic only
in6run,SIG-RD,PRE_HEDGE_ONLY,133,34,99,37,0.9189,0.2556,0.012,5226.7,0.8,21550.0,-3640.7,-46.1,359.4,-1590.5,0.0125,0.2431,,S=theoretical full-derisk upper bound; NOT a Close-Priority/Hedge counterfactual,V1_3_AUTHORITATIVE,in-sample diagnostic only
in6run,SIG-MA_AND_SIG-RD,PRE_HEDGE_ONLY,20,3,17,37,0.0811,0.1500,0.970,118.2,55.5,395.0,-4141.0,399.3,399.3,NA,-0.1067,0.2567,LOW_N,S=theoretical full-derisk upper bound; NOT a Close-Priority/Hedge counterfactual,V1_3_AUTHORITATIVE,in-sample diagnostic only
in6run,SIG-SLP_DESCRIPTIVE_ONLY,PRE_HEDGE_ONLY,442,NA,NA,37,NA_DESCRIPTIVE_ONLY,NA_DESCRIPTIVE_ONLY,,pl_at_fire_p50=-849.0,,,,,,,,,,descriptive only; threshold re-test forbidden (0.05/min frozen),V1_3_AUTHORITATIVE,in-sample diagnostic only
june_post,SIG-MA,PRE_HEDGE_ONLY,4,0,4,6,0.0000,0.0000,NA,NA,NA,NA,NA,404.0,404.0,NA,NA,NA,LOW_N,S=theoretical full-derisk upper bound; NOT a Close-Priority/Hedge counterfactual,V1_3_AUTHORITATIVE,june post-sample (NOT in-sample)
june_post,SIG-RD,PRE_HEDGE_ONLY,15,4,11,6,0.6667,0.2667,0.013,5308.3,4191.3,5702.0,-2689.0,60.7,363.4,NA,-0.0231,0.2898,LOW_N,S=theoretical full-derisk upper bound; NOT a Close-Priority/Hedge counterfactual,V1_3_AUTHORITATIVE,june post-sample (NOT in-sample)
june_post,SIG-MA_AND_SIG-RD,PRE_HEDGE_ONLY,4,0,4,6,0.0000,0.0000,NA,NA,NA,NA,NA,404.0,404.0,NA,NA,NA,LOW_N,S=theoretical full-derisk upper bound; NOT a Close-Priority/Hedge counterfactual,V1_3_AUTHORITATIVE,june post-sample (NOT in-sample)
june_post,SIG-SLP_DESCRIPTIVE_ONLY,PRE_HEDGE_ONLY,84,NA,NA,6,NA_DESCRIPTIVE_ONLY,NA_DESCRIPTIVE_ONLY,,pl_at_fire_p50=-684.0,,,,,,,,,,descriptive only; threshold re-test forbidden (0.05/min frozen),V1_3_AUTHORITATIVE,june post-sample (NOT in-sample)
pooled,SIG-MA,PRE_HEDGE_ONLY,33,3,30,43,0.0698,0.0909,0.485,93.7,55.5,319.7,-3574.3,398.7,398.7,NA,-0.1255,0.2164,LOW_N,S=theoretical full-derisk upper bound; NOT a Close-Priority/Hedge counterfactual,V1_3_AUTHORITATIVE,in-sample + june post-sample pooled (NOT in-sample only)
pooled,SIG-RD,PRE_HEDGE_ONLY,148,38,110,43,0.8837,0.2568,0.012,5226.7,0.8,21550.0,-3540.5,-35.4,359.8,-1590.5,0.0099,0.2469,,S=theoretical full-derisk upper bound; NOT a Close-Priority/Hedge counterfactual,V1_3_AUTHORITATIVE,in-sample + june post-sample pooled (NOT in-sample only)
pooled,SIG-MA_AND_SIG-RD,PRE_HEDGE_ONLY,24,3,21,43,0.0698,0.1250,0.970,118.2,55.5,395.0,-4141.0,400.2,400.2,NA,-0.1070,0.2320,LOW_N,S=theoretical full-derisk upper bound; NOT a Close-Priority/Hedge counterfactual,V1_3_AUTHORITATIVE,in-sample + june post-sample pooled (NOT in-sample only)
pooled,SIG-SLP_DESCRIPTIVE_ONLY,PRE_HEDGE_ONLY,526,NA,NA,43,NA_DESCRIPTIVE_ONLY,NA_DESCRIPTIVE_ONLY,,pl_at_fire_p50=-844.0,,,,,,,,,,descriptive only; threshold re-test forbidden (0.05/min frozen),V1_3_AUTHORITATIVE,in-sample + june post-sample pooled (NOT in-sample only)
