basket_id,sample_type,close_reason,final_pl,entry_rows,hedge_rows,close_rows,max_concurrent_positions,leg_pl_sum,gross_leg_abs_sum,gross_to_net_ratio,margin_at_hs_min,margin_at_hedge_min,open_time_gate
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0001,in6run,BasketClose,403.00,1,0,1,1,403,403,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0002,in6run,BasketClose,403.00,1,0,1,1,403,403,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0003,in6run,BasketClose,409.00,1,0,1,1,409,409,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0004,in6run,BasketClose,408.00,1,0,1,1,408,408,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0005,in6run,BasketClose,402.00,0,0,1,1,402,402,1.00,NA,NA,INTERVAL_ONLY
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0006,in6run,BasketClose,401.00,1,0,1,1,401,401,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0007,in6run,BasketClose,400.00,1,0,1,1,400,400,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0008,in6run,BasketClose,409.00,1,0,1,1,409,409,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0009,in6run,BasketClose,406.00,1,0,1,1,406,406,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0010,in6run,BasketClose,403.00,1,0,1,1,403,403,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0011,in6run,BasketClose,403.00,1,0,1,1,403,403,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0012,in6run,BasketClose,408.00,1,0,1,1,408,408,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0013,in6run,HardStop,-8397.00,1,0,1,1,-8397,8397,1.00,11281.6,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0014,in6run,BasketClose,403.00,1,0,1,1,403,403,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0015,in6run,BasketClose,407.00,1,0,1,1,407,407,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0016,in6run,HardStop,-7804.00,0,1,2,2,-7804,48346,6.20,NA,11009.0,INTERVAL_ONLY
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0017,in6run,BasketClose,402.00,1,0,1,1,402,402,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0018,in6run,BasketClose,404.00,1,0,1,1,404,404,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0019,in6run,BasketClose,402.00,1,0,1,1,402,402,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0020,in6run,BasketClose,410.00,0,0,1,1,410,410,1.00,NA,NA,INTERVAL_ONLY
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0021,in6run,BasketClose,402.00,1,0,1,1,402,402,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0022,in6run,BasketClose,400.00,1,0,1,1,400,400,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0023,in6run,BasketClose,405.00,1,0,1,1,405,405,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0024,in6run,BasketClose,403.00,1,0,1,1,403,403,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0025,in6run,BasketClose,400.00,1,0,1,1,400,400,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0026,in6run,BasketClose,400.00,1,0,1,1,400,400,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0027,in6run,BasketClose,407.00,1,0,1,1,407,407,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0028,in6run,HardStop,-7632.00,0,1,2,2,-7632,87444,11.46,NA,10170.0,INTERVAL_ONLY
