table_id,scope,group,n,final_pl_median,final_pl_mean,final_pl_min,final_pl_max,duration_h_median,duration_h_max,hedged_n,hedged_rate,sig_rd_n,sig_rd_rate,hs_loss_median,hs_loss_min,basket_pl_at_hedge_median,margin_at_hedge_median,post_hedge_max_recovery_median,hardstop_n,hardstop_rate,sig_rd_to_hs_lead_min_median,low_n_flag,note
1_HS_vs_NonHS,in6run,HardStop,37,-3755.0,-4991.3,-9019.0,-2025.0,91.80,358.01,26,0.703,34,0.919,,,,,,,,,,basket-level structural proxy; NOT position/lot exposure
1_HS_vs_NonHS,in6run,Non_HardStop,405,401.0,253.4,-7138.0,420.0,0.09,258.22,14,0.035,99,0.244,,,,,,,,,,basket-level structural proxy; NOT position/lot exposure
1_HS_vs_NonHS,june_post,HardStop,6,-4343.5,-5481.8,-8496.0,-3834.0,91.10,304.63,6,1.000,4,0.667,,,,,,,,,,basket-level structural proxy; NOT position/lot exposure
1_HS_vs_NonHS,june_post,Non_HardStop,78,400.0,241.8,-5900.0,410.0,0.13,9.56,2,0.026,11,0.141,,,,,,,,,,basket-level structural proxy; NOT position/lot exposure
1_HS_vs_NonHS,pooled,HardStop,43,-3917.0,-5059.7,-9019.0,-2025.0,91.80,358.01,32,0.744,38,0.884,,,,,,,,,,basket-level structural proxy; NOT position/lot exposure
1_HS_vs_NonHS,pooled,Non_HardStop,483,400.0,251.5,-7138.0,420.0,0.10,258.22,16,0.033,110,0.228,,,,,,,,,,basket-level structural proxy; NOT position/lot exposure
2_Hedged_vs_NonHedged_HS,in6run,Hedged_HS,26,,,,,141.70,,,,23,0.885,-3746.5,-8777.0,-2985.5,NA_PLACEHOLDER_0.00,-2954.0,,,,,hedge fields present; distance_to_hs_price MISSING -> timing NOT_COMPUTABLE
2_Hedged_vs_NonHedged_HS,in6run,NonHedged_HS,11,,,,,0.63,,,,11,1.000,-3825.0,-9019.0,NA_no_hedge_row,NA_PLACEHOLDER_0.00,NA_no_hedge_row,,,,,hedge fields present; distance_to_hs_price MISSING -> timing NOT_COMPUTABLE
2_Hedged_vs_NonHedged_HS,june_post,Hedged_HS,6,,,,,91.10,,,,4,0.667,-4343.5,-8496.0,-3567.0,NA_PLACEHOLDER_0.00,-3550.5,,,,LOW_N,hedge fields present; distance_to_hs_price MISSING -> timing NOT_COMPUTABLE
2_Hedged_vs_NonHedged_HS,june_post,NonHedged_HS,0,,,,,NA,,,,0,NA,NA,NA,NA_no_hedge_row,NA_PLACEHOLDER_0.00,NA_no_hedge_row,,,,LOW_N,hedge fields present; distance_to_hs_price MISSING -> timing NOT_COMPUTABLE
2_Hedged_vs_NonHedged_HS,pooled,Hedged_HS,32,,,,,140.87,,,,27,0.844,-4018.5,-8777.0,-3169.0,NA_PLACEHOLDER_0.00,-3146.0,,,,,hedge fields present; distance_to_hs_price MISSING -> timing NOT_COMPUTABLE
2_Hedged_vs_NonHedged_HS,pooled,NonHedged_HS,11,,,,,0.63,,,,11,1.000,-3825.0,-9019.0,NA_no_hedge_row,NA_PLACEHOLDER_0.00,NA_no_hedge_row,,,,,hedge fields present; distance_to_hs_price MISSING -> timing NOT_COMPUTABLE
3_SIGRD_present_vs_absent,in6run,SIG-RD_present,133,302.0,,-9019.0,,1.43,358.01,,,,,,,,,,34,0.256,5194.6,,duration = exposure-time proxy; SIG-RD baskets stay open longer?
3_SIGRD_present_vs_absent,in6run,SIG-RD_absent,309,401.0,,-7762.0,,0.05,255.85,,,,,,,,,,3,0.010,NA,,duration = exposure-time proxy; SIG-RD baskets stay open longer?
3_SIGRD_present_vs_absent,june_post,SIG-RD_present,15,303.0,,-4567.0,,3.57,94.23,,,,,,,,,,4,0.267,4951.6,,duration = exposure-time proxy; SIG-RD baskets stay open longer?
3_SIGRD_present_vs_absent,june_post,SIG-RD_absent,69,400.0,,-8496.0,,0.10,304.63,,,,,,,,,,2,0.029,NA,,duration = exposure-time proxy; SIG-RD baskets stay open longer?
3_SIGRD_present_vs_absent,pooled,SIG-RD_present,148,302.5,,-9019.0,,1.46,358.01,,,,,,,,,,38,0.257,5194.6,,duration = exposure-time proxy; SIG-RD baskets stay open longer?
3_SIGRD_present_vs_absent,pooled,SIG-RD_absent,378,400.5,,-8496.0,,0.06,304.63,,,,,,,,,,5,0.013,NA,,duration = exposure-time proxy; SIG-RD baskets stay open longer?
