basket_uid,run_id,capital_group,direction,entry_time,hedge_time,hardstop_time,hedged_flag,root_cause_class,first_warning_signal_time,first_warning_signal_family,signal_to_hedge_lead_sec,signal_to_hardstop_lead_sec,pl_at_signal_yen,distance_to_hardstop_at_signal_yen,pl_at_hedge_yen,post_hedge_best_recovery_yen,giveback_after_recovery_yen,final_loss_yen,event_window_state,m15_reverse_before_hardstop,m30_regime_at_signal,m5_proxy_state_at_signal,hte_eligible_at_signal,recovery_eligible_at_signal,basketclose_eligible_at_signal,close_priority_ok_at_signal,pending_close_at_signal,no_ma_warning_flag,data_source
TA9_A_FRESH_BASELINE_100000_APR_MAY_M5_20260401_20260529|GOLD|2026.04.02 03:51:04|SEQ13,TA9_A_FRESH_BASELINE_100000_APR_MAY_M5_20260401_20260529,100000,BUY,2026.04.02 03:51:04,NA,2026.04.02 04:04:43,false,NON_HEDGED_HARDSTOP,NA,NO_M15_WARNING,NA,NA,NA,NA,NA,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-8397,False,false,NA,NA,NA,NA,NA,NA,NA,true,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_100000_APR_MAY_M5_20260401_20260529|GOLD|2026.04.06 03:45:09|SEQ16,TA9_A_FRESH_BASELINE_100000_APR_MAY_M5_20260401_20260529,100000,SELL,2026.04.06 03:45:09,2026.04.06 05:17:46,2026.04.17 01:05:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-04-06 06:00:40,M15_REVERSE_CONFIRMED,-2574,932660,-5968.00,1813.44,-5893,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-7804,False,true,BEAR,BULL,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_100000_APR_MAY_M5_20260401_20260529|GOLD|2026.04.21 03:59:02|SEQ28,TA9_A_FRESH_BASELINE_100000_APR_MAY_M5_20260401_20260529,100000,BUY,2026.04.21 03:59:02,2026.04.21 08:03:00,2026.04.30 01:05:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-04-21 04:33:40,M15_REVERSE_CONFIRMED,12560,765080,-1144.00,6367.92,-6030,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-7632,False,true,BULL,BEAR,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_100000_APR_MAY_M5_20260401_20260529|GOLD|2026.05.06 01:53:19|SEQ43,TA9_A_FRESH_BASELINE_100000_APR_MAY_M5_20260401_20260529,100000,SELL,2026.05.06 01:53:19,2026.05.06 02:52:21,2026.05.14 01:05:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-05-06 02:15:04,M15_REVERSE_CONFIRMED,2237,686996,-5518.00,1836.48,-6028,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-7422,False,true,BEAR,BULL,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_100000_MAR_MAY_M5_20260301_20260529|GOLD|2026.03.02 02:52:01|SEQ1,TA9_A_FRESH_BASELINE_100000_MAR_MAY_M5_20260301_20260529,100000,BUY,2026.03.02 02:52:01,NA,2026.03.02 03:29:36,false,NON_HEDGED_HARDSTOP,NA,NO_M15_WARNING,NA,NA,NA,NA,NA,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-8018,False,false,NA,NA,NA,NA,NA,NA,NA,true,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_100000_MAR_MAY_M5_20260301_20260529|GOLD|2026.03.05 06:25:00|SEQ28,TA9_A_FRESH_BASELINE_100000_MAR_MAY_M5_20260301_20260529,100000,BUY,2026.03.05 06:25:00,NA,2026.03.05 08:10:28,false,NON_HEDGED_HARDSTOP,2026-03-05 07:15:38,M15_REVERSE_CONFIRMED,NA,3290,-1504.00,6693.68,NA,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-8201,False,true,BULL,BEAR,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_100000_MAR_MAY_M5_20260301_20260529|GOLD|2026.03.11 05:11:25|SEQ59,TA9_A_FRESH_BASELINE_100000_MAR_MAY_M5_20260301_20260529,100000,BUY,2026.03.11 05:11:25,2026.03.11 14:56:20,2026.03.26 01:05:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-03-11 06:30:00,M15_REVERSE_CONFIRMED,30380,1276500,-858.00,7652.72,-6385,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-8759,False,true,BULL,BEAR,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_100000_MAR_MAY_M5_20260301_20260529|GOLD|2026.04.02 03:51:04|SEQ97,TA9_A_FRESH_BASELINE_100000_MAR_MAY_M5_20260301_20260529,100000,BUY,2026.04.02 03:51:04,NA,2026.04.02 04:05:42,false,NON_HEDGED_HARDSTOP,NA,NO_M15_WARNING,NA,NA,NA,NA,NA,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-9019,False,false,NA,NA,NA,NA,NA,NA,NA,true,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_100000_MAR_MAY_M5_20260301_20260529|GOLD|2026.04.06 03:45:09|SEQ100,TA9_A_FRESH_BASELINE_100000_MAR_MAY_M5_20260301_20260529,100000,SELL,2026.04.06 03:45:09,2026.04.06 05:19:19,2026.04.20 01:06:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-04-06 06:00:40,M15_REVERSE_CONFIRMED,-2481,1191920,-6340.00,2009.20,-6265,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-8520,False,true,BEAR,BULL,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
TA9_A_FRESH_BASELINE_100000_MAR_MAY_M5_20260301_20260529|GOLD|2026.04.21 03:59:02|SEQ103,TA9_A_FRESH_BASELINE_100000_MAR_MAY_M5_20260301_20260529,100000,BUY,2026.04.21 03:59:02,2026.04.21 08:03:00,2026.05.01 23:54:00,true,LOSS_DOMINANT_BEFORE_HEDGE,2026-04-21 04:33:40,M15_REVERSE_CONFIRMED,12560,933620,-1144.00,6588.16,-6030,NOT_IN_SOURCE_AUDIT,NOT_IN_SOURCE_AUDIT,-7762,False,true,BULL,BEAR,false,false,false,true,NONE,false,OFFLINE_OVERLAY_INGESTED_20260702
