basket_uid,run_id,capital_group,effect_class,one_step_effect_ex_commission_yen,pl_at_signal_yen,final_loss_yen,hedge_phase_at_signal,m30_regime,m5_proxy_state,signal_to_hardstop_lead_sec,data_source
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.06T03:45:09#32,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,HARDSTOP_RESCUE,7122.00,-682.00,-7804.00,PRE_HEDGE,BEAR,BULL,940171,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.06T03:45:09#32,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,HARDSTOP_RESCUE,1836.00,-5968.00,-7804.00,POST_HEDGE,BEAR,BULL,932660,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.06T03:45:09#32,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,HARDSTOP_RESCUE,1487.00,-6317.00,-7804.00,POST_HEDGE,BULL,BULL,745941,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.06T03:45:09#32,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,HARDSTOP_RESCUE,1850.00,-5954.00,-7804.00,POST_HEDGE,BEAR,BULL,927645,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.06T03:45:09#32,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,HARDSTOP_RESCUE,1506.00,-6298.00,-7804.00,POST_HEDGE,BEAR,BULL,730500,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.21T03:59:02#58,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,HARDSTOP_RESCUE,1531.00,-6101.00,-7632.00,POST_HEDGE,BEAR,BEAR,748480,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.21T03:59:02#58,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,HARDSTOP_RESCUE,6488.00,-1144.00,-7632.00,PRE_HEDGE,BULL,BEAR,765080,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.21T03:59:02#58,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,HARDSTOP_RESCUE,1543.00,-6089.00,-7632.00,POST_HEDGE,BEAR,BEAR,732441,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.21T03:59:02#58,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,HARDSTOP_RESCUE,1531.00,-6101.00,-7632.00,POST_HEDGE,BEAR,BEAR,748480,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.21T03:59:02#58,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,HARDSTOP_RESCUE,1524.00,-6108.00,-7632.00,POST_HEDGE,BEAR,BEAR,730200,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.06T01:53:19#90,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,HARDSTOP_RESCUE,4142.00,-3280.00,-7422.00,PRE_HEDGE,BEAR,BULL,687600,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.06T01:53:19#90,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,HARDSTOP_RESCUE,1904.00,-5518.00,-7422.00,PRE_HEDGE,BEAR,BULL,686996,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.06T01:53:19#90,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,HARDSTOP_RESCUE,1379.00,-6043.00,-7422.00,POST_HEDGE,BULL,BULL,630900,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.06T01:53:19#90,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,HARDSTOP_RESCUE,1374.00,-6048.00,-7422.00,POST_HEDGE,BULL,BULL,663000,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.06T01:53:19#90,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,HARDSTOP_RESCUE,1368.00,-6054.00,-7422.00,POST_HEDGE,BEAR,BULL,618211,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529|GOLD#2026.03.05T06:25:00#56,ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,100000,HARDSTOP_RESCUE,6697.00,-1504.00,-8201.00,PRE_HEDGE,BULL,BEAR,3290,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529|GOLD#2026.03.11T05:11:25#118,ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,100000,HARDSTOP_RESCUE,7468.00,-1291.00,-8759.00,PRE_HEDGE,BULL,BEAR,1277784,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529|GOLD#2026.03.11T05:11:25#118,ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,100000,HARDSTOP_RESCUE,7901.00,-858.00,-8759.00,PRE_HEDGE,BULL,BEAR,1276500,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529|GOLD#2026.03.11T05:11:25#118,ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,100000,HARDSTOP_RESCUE,1883.00,-6876.00,-8759.00,POST_HEDGE,BEAR,BEAR,1210485,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529|GOLD#2026.03.11T05:11:25#118,ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,100000,HARDSTOP_RESCUE,7040.00,-1719.00,-8759.00,PRE_HEDGE,BULL,BEAR,1272440,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529|GOLD#2026.03.11T05:11:25#118,ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,100000,HARDSTOP_RESCUE,1882.00,-6877.00,-8759.00,POST_HEDGE,BEAR,BEAR,1195800,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529|GOLD#2026.04.06T03:45:09#202,ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,100000,HARDSTOP_RESCUE,7838.00,-682.00,-8520.00,PRE_HEDGE,BEAR,BULL,1199431,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529|GOLD#2026.04.06T03:45:09#202,ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,100000,HARDSTOP_RESCUE,2180.00,-6340.00,-8520.00,POST_HEDGE,BEAR,BULL,1191920,OFFLINE_OVERLAY_INGESTED_20260702
