basket_uid,run_id,capital_group,reason_code,is_primary_signal,signal_time,available_time,candidate_profit_swap_yen,actual_final_profit_swap_yen,one_step_effect_ex_commission_yen,effect_class,actual_final_reason,hedge_phase_at_signal,m30_regime,m5_proxy_state,event_window_state,censored_flag,all_gates_pass,contract_version,data_source
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.01T09:10:17#4,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,M30_ENTRY_REGIME_MISMATCH,true,2026-04-01 09:10:17,2026-04-01 09:10:17,-67.00,403.00,-470.00,BASKETCLOSE_KILL,BASKET_CLOSE,PRE_HEDGE,BEAR,BULL,OUT_OF_WINDOW,false,false,1.1.0,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.01T12:06:00#8,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,M5_REVERSE_WARNING,true,2026-04-01 12:15:14,2026-04-01 12:15:00,-1451.00,408.00,-1859.00,BASKETCLOSE_KILL,BASKET_CLOSE,PRE_HEDGE,BULL,BEAR,OUT_OF_WINDOW,false,false,1.1.0,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.01T15:08:04#10,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,M5_REVERSE_WARNING,true,2026-04-01 15:25:30,2026-04-01 15:25:00,-2082.00,402.00,-2484.00,BASKETCLOSE_KILL,BASKET_CLOSE,PRE_HEDGE,BULL,BEAR,OUT_OF_WINDOW,false,false,1.1.0,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.01T20:30:52#14,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,M5_REVERSE_WARNING,true,2026-04-01 20:50:19,2026-04-01 20:50:00,-730.00,400.00,-1130.00,BASKETCLOSE_KILL,BASKET_CLOSE,PRE_HEDGE,BULL,BEAR,OUT_OF_WINDOW,false,false,1.1.0,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.01T20:30:52#14,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,M15_REVERSE_CONFIRMED,true,2026-04-01 22:05:03,2026-04-01 22:00:00,-4097.00,400.00,-4497.00,BASKETCLOSE_KILL,BASKET_CLOSE,PRE_HEDGE,BULL,BEAR,OUT_OF_WINDOW,false,UNKNOWN,1.1.0,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.01T20:30:52#14,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,M15_REVERSE_WITH_M5_PROXY,true,2026-04-01 23:44:20,2026-04-01 23:40:00,-4086.00,400.00,-4486.00,BASKETCLOSE_KILL,BASKET_CLOSE,PRE_HEDGE,BULL,BEAR,OUT_OF_WINDOW,false,UNKNOWN,1.1.0,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.02T03:44:53#24,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,M5_REVERSE_WARNING,true,2026-04-02 03:45:00,2026-04-02 03:45:00,2.00,408.00,-406.00,BASKETCLOSE_KILL,BASKET_CLOSE,PRE_HEDGE,BULL,BEAR,OUT_OF_WINDOW,false,false,1.1.0,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.06T03:45:09#32,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,M5_REVERSE_WARNING,true,2026-04-06 03:55:29,2026-04-06 03:55:00,-682.00,-7804.00,7122.00,HARDSTOP_RESCUE,HARDSTOP,PRE_HEDGE,BEAR,BULL,OUT_OF_WINDOW,false,false,1.1.0,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.06T03:45:09#32,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,M15_REVERSE_CONFIRMED,true,2026-04-06 06:00:40,2026-04-06 05:30:00,-5968.00,-7804.00,1836.00,HARDSTOP_RESCUE,HARDSTOP,POST_HEDGE,BEAR,BULL,OUT_OF_WINDOW,false,UNKNOWN,1.1.0,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.06T03:45:09#32,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,M15_REVERSE_WITH_M30_ADVERSE,true,2026-04-08 09:52:39,2026-04-08 08:45:00,-6317.00,-7804.00,1487.00,HARDSTOP_RESCUE,HARDSTOP,POST_HEDGE,BULL,BULL,OUT_OF_WINDOW,false,UNKNOWN,1.1.0,OFFLINE_OVERLAY_INGESTED_20260702
