window_id,capital,canonical_basket,final_close_reason,net_pl_yen,hedged,actual_class,norm_loss_slope_3min,rapid_drop_trigger
W1,50000,GOLD#2026.06.01T04:45:24#2,basket close,410.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,50000,GOLD#2026.06.01T05:08:09#4,basket close,400.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,50000,GOLD#2026.06.01T05:13:59#6,basket close,410.0,false,BASKET_CLOSE_OR_OTHER,0.0337,false
W1,50000,GOLD#2026.06.01T05:38:00#8,basket close,405.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,50000,GOLD#2026.06.01T06:31:26#10,basket close,405.0,false,BASKET_CLOSE_OR_OTHER,0.0000,false
W1,50000,GOLD#2026.06.01T07:03:00#12,basket close,400.0,false,BASKET_CLOSE_OR_OTHER,-0.0094,false
W1,50000,GOLD#2026.06.01T07:19:19#14,basket close,403.0,false,BASKET_CLOSE_OR_OTHER,0.0004,false
W1,50000,GOLD#2026.06.01T07:56:19#16,basket close,400.0,false,BASKET_CLOSE_OR_OTHER,0.0261,false
W1,50000,GOLD#2026.06.01T09:29:52#18,basket close,400.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,50000,GOLD#2026.06.01T10:09:25#20,basket close,402.0,false,BASKET_CLOSE_OR_OTHER,0.0010,false
W1,50000,GOLD#2026.06.01T10:33:20#22,basket close,400.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,50000,GOLD#2026.06.01T11:00:23#24,basket close,403.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,50000,GOLD#2026.06.01T11:57:06#26,basket close,403.0,false,BASKET_CLOSE_OR_OTHER,0.0030,false
W1,50000,GOLD#2026.06.01T12:36:59#28,basket close,408.0,false,BASKET_CLOSE_OR_OTHER,0.1401,true
W1,50000,GOLD#2026.06.01T19:30:02#30,hard stop emergency close,-4567.0,true,HARDSTOP,0.1316,true
W1,50000,GOLD#2026.06.08T02:00:59#34,hard stop emergency close,-4120.0,true,HARDSTOP,0.0867,true
W1,50000,GOLD#2026.06.15T03:51:00#38,basket close,304.0,false,BASKET_CLOSE_OR_OTHER,-0.0007,false
W1,50000,GOLD#2026.06.15T06:07:26#40,basket close,303.0,false,BASKET_CLOSE_OR_OTHER,0.0002,false
W1,50000,GOLD#2026.06.15T06:26:26#42,basket close,301.0,false,BASKET_CLOSE_OR_OTHER,0.0000,false
W1,50000,GOLD#2026.06.15T06:40:57#44,basket close,306.0,false,BASKET_CLOSE_OR_OTHER,0.0449,false
W1,50000,GOLD#2026.06.15T07:31:59#46,basket close,306.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,50000,GOLD#2026.06.15T07:54:09#48,basket close,301.0,false,BASKET_CLOSE_OR_OTHER,0.0003,false
W1,50000,GOLD#2026.06.15T08:32:53#50,hard stop emergency close,-3917.0,true,HARDSTOP,0.1252,true
W1,50000,GOLD#2026.06.22T03:00:53#54,basket close,305.0,false,BASKET_CLOSE_OR_OTHER,-0.0147,false
W1,50000,GOLD#2026.06.22T03:06:52#56,basket close,302.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,50000,GOLD#2026.06.22T03:11:03#58,hard stop emergency close,-3834.0,true,HARDSTOP,0.1843,true
W1,50000,GOLD#2026.06.26T01:28:52#62,basket close,306.0,false,BASKET_CLOSE_OR_OTHER,0.1056,true
W1,50000,GOLD#2026.06.26T01:57:00#64,basket close,306.0,false,BASKET_CLOSE_OR_OTHER,0.0144,false
W1,50000,GOLD#2026.06.26T02:14:51#66,basket close,301.0,false,BASKET_CLOSE_OR_OTHER,0.0228,false
W1,50000,GOLD#2026.06.26T02:43:58#68,basket close,304.0,false,BASKET_CLOSE_OR_OTHER,-0.0105,false
W1,50000,GOLD#2026.06.26T03:15:03#70,basket close,301.0,false,BASKET_CLOSE_OR_OTHER,0.0018,false
W1,50000,GOLD#2026.06.26T03:53:26#72,basket close,303.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,50000,GOLD#2026.06.26T03:58:05#74,basket close,303.0,false,BASKET_CLOSE_OR_OTHER,0.2464,true
W1,50000,GOLD#2026.06.26T04:09:21#76,basket close,303.0,false,BASKET_CLOSE_OR_OTHER,0.1300,true
W1,50000,GOLD#2026.06.26T04:46:30#78,basket close,303.0,false,BASKET_CLOSE_OR_OTHER,UNDERIVABLE_SPARSE,false
W1,50000,GOLD#2026.06.26T04:56:42#80,basket close,303.0,false,BASKET_CLOSE_OR_OTHER,0.0547,true
W1,50000,GOLD#2026.06.26T11:03:03#82,basket close,301.0,false,BASKET_CLOSE_OR_OTHER,0.0000,false
