canonical_basket,capital,final_close_reason,net_pl_yen,hedged,prehedge_snapshot_count,norm_loss_slope_1min,norm_loss_slope_3min,norm_loss_slope_5min,norm_distance_shrink_rate_3min,rapid_drop_observation_trigger,trigger_threshold_norm3_per_min,actual_class,data_source
GOLD#2026.06.01T04:45:24#2,50000,basket close,410.0,false,5,-0.0172,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T05:08:09#4,50000,basket close,400.0,false,7,0.0006,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T05:13:59#6,50000,basket close,410.0,false,16,0.0132,0.0337,0.0189,0.0337,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T05:38:00#8,50000,basket close,405.0,false,2,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T06:31:26#10,50000,basket close,405.0,false,9,0.0000,0.0000,-0.0056,0.0000,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T07:03:00#12,50000,basket close,400.0,false,5,0.0000,-0.0094,UNDERIVABLE_SPARSE,-0.0094,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T07:19:19#14,50000,basket close,403.0,false,25,0.0015,0.0004,0.0002,0.0004,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T07:56:19#16,50000,basket close,400.0,false,112,0.0646,0.0261,0.0168,0.0261,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T09:29:52#18,50000,basket close,400.0,false,2,-0.0369,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T10:09:25#20,50000,basket close,402.0,false,28,0.0047,0.0010,0.0008,0.0010,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.01T10:33:20#22,50000,basket close,400.0,false,10,0.0012,UNDERIVABLE_SPARSE,-0.0047,UNDERIVABLE_SPARSE,false,0.05,BASKET_CLOSE_OR_OTHER,PROSPECTIVE_JUNE2026_DERIVED
