run_id,basket_uid,baseline_tag,close_reason,close_time,main_side,final_pl_anchor,move_fav_max_1h,move_adv_max_1h,coverage_1h,move_fav_max_4h,move_adv_max_4h,coverage_4h,move_fav_max_24h,move_adv_max_24h,coverage_24h
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T04:45:24#2#-1#1,V1_IDENTICAL,BASKET_CLOSE,2026.06.01 04:46:31,SELL,410.00,7.96,4.73,1.00,21.18,4.73,1.00,82.20,4.73,0.96
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T05:08:09#4#-1#1,V1_IDENTICAL,BASKET_CLOSE,2026.06.01 05:10:05,SELL,400.00,12.77,6.21,1.00,19.70,6.21,1.00,80.72,6.21,0.96
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T05:13:59#6#-1#1,V1_IDENTICAL,BASKET_CLOSE,2026.06.01 05:28:00,SELL,410.00,15.87,1.38,1.00,24.64,1.38,1.00,81.98,1.38,0.96
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T05:38:00#8#-1#1,V1_IDENTICAL,BASKET_CLOSE,2026.06.01 05:40:31,SELL,405.00,15.92,-0.30,1.00,23.95,-0.30,1.00,78.12,-0.30,0.96
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T06:31:26#10#-1#1,V1_IDENTICAL,BASKET_CLOSE,2026.06.01 06:37:31,SELL,405.00,10.06,-0.29,1.00,19.71,5.14,1.00,72.26,5.14,0.96
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T07:03:00#12#-1#1,V1_IDENTICAL,BASKET_CLOSE,2026.06.01 07:05:30,SELL,400.00,7.31,2.47,1.00,23.58,9.07,1.00,68.33,9.07,0.96
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T07:19:19#14#-1#1,V1_IDENTICAL,BASKET_CLOSE,2026.06.01 07:34:27,SELL,403.00,5.90,9.02,1.00,23.90,10.48,1.00,66.92,10.48,0.96
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T07:56:19#16#-1#1,V1_IDENTICAL,BASKET_CLOSE,2026.06.01 09:17:26,SELL,400.00,11.30,3.21,1.00,22.28,3.21,1.00,63.85,16.67,0.96
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T09:29:52#18#-1#1,V1_IDENTICAL,BASKET_CLOSE,2026.06.01 09:32:32,SELL,400.00,10.88,-0.14,1.00,21.86,-0.14,1.00,63.43,26.03,0.96
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T10:09:25#20#-1#1,V1_IDENTICAL,BASKET_CLOSE,2026.06.01 10:19:04,SELL,402.00,13.65,2.36,1.00,16.13,5.55,1.00,57.70,36.09,0.96
