run_id,basket_uid,baseline_tag,hedge_time,floating_at_hedge,threshold_yen,distance_to_hs_yen,pct_threshold_consumed,worst_prehedge_at_hedge,min_to_hedge_from_open,final_close_reason,final_worst_lifecycle
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.02T05:51:59#32#0#2,V1_IDENTICAL,2026.06.02 08:24:23,-6584.00,8483.92,1899.92,77.6,-6875.00,NA,hard stop emergency close,-8496.00
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.16T05:49:40#40#0#2,V1_IDENTICAL,2026.06.16 15:53:50,-6476.00,7868.24,1392.24,82.3,-7008.00,NA,hard stop emergency close,-7967.00
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.29T11:11:37#76#0#2,V1_IDENTICAL,2026.06.29 14:26:31,-5895.00,7746.80,1851.80,76.1,-6431.00,NA,NO_ANCHOR,NA
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.01T19:30:02#30#0#2,V1_IDENTICAL,2026.06.01 20:43:43,-3774.00,4451.92,677.92,84.8,-3710.00,NA,hard stop emergency close,-4574.00
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.08T02:00:59#34#0#2,V1_IDENTICAL,2026.06.08 02:50:57,-3360.00,4086.56,726.56,82.2,-3601.00,NA,hard stop emergency close,-4129.00
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.15T08:32:53#50#0#2,V1_IDENTICAL,2026.06.15 09:07:30,-3111.00,3902.64,791.64,79.7,-3286.00,NA,hard stop emergency close,-3918.00
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.22T03:11:03#58#0#2,V1_IDENTICAL,2026.06.22 03:30:18,-3177.00,3637.84,460.84,87.3,-3548.00,NA,hard stop emergency close,-3840.00
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.29T14:35:32#104#0#2,V1_IDENTICAL,2026.06.29 15:11:40,-2963.00,3839.92,876.92,77.2,-2880.00,NA,NO_ANCHOR,NA
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.06T03:45:09#32#0#2,V1_MOSTLY_IDENTICAL,2026.04.06 05:17:46,-5968.00,7781.60,1813.60,76.7,-6212.00,NA,hard stop emergency close,-7794.00
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.21T03:59:02#58#0#2,V1_MOSTLY_IDENTICAL,2026.04.21 08:03:00,-6094.00,7512.88,1418.88,81.1,-6292.00,NA,hard stop emergency close,-7602.00
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.06T01:53:19#90#0#2,V1_MOSTLY_IDENTICAL,2026.05.06 02:52:21,-6107.00,7360.48,1253.48,83.0,-6400.00,NA,hard stop emergency close,-7392.00
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.18T04:42:03#126#0#2,V1_MOSTLY_IDENTICAL,2026.05.18 05:46:40,-5554.00,7288.80,1734.80,76.2,-5473.00,NA,NO_ANCHOR,NA
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.11T05:11:25#118#0#2,V1_MOSTLY_IDENTICAL,2026.03.11 14:56:20,-6463.00,8510.72,2047.72,75.9,-7041.00,NA,hard stop emergency close,-8694.00
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.06T03:45:09#202#0#2,V1_MOSTLY_IDENTICAL,2026.04.06 05:19:19,-6334.00,8357.12,2023.12,75.8,-6286.00,NA,hard stop emergency close,-8496.00
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.21T03:59:02#210#0#2,V1_MOSTLY_IDENTICAL,2026.04.21 08:03:00,-6094.00,7745.12,1651.12,78.7,-6292.00,NA,hard stop emergency close,-7913.00
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.06T01:53:19#220#0#2,V1_MOSTLY_IDENTICAL,2026.05.06 02:52:21,-6107.00,7211.76,1104.76,84.7,-6400.00,NA,hard stop emergency close,-7392.00
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.18T04:42:03#256#0#2,V1_MOSTLY_IDENTICAL,2026.05.18 05:41:05,-5440.00,7140.08,1700.08,76.2,-5357.00,NA,NO_ANCHOR,NA
W3_ON_ML_C_SHADOW_ON_100000_MAY_M5_20260501_20260529,GOLD#2026.05.06T01:53:19#30#0#2,V1_MOSTLY_IDENTICAL,2026.05.06 03:04:23,-6501.00,8453.12,1952.12,76.9,-6915.00,NA,hard stop emergency close,-8689.00
W3_ON_ML_C_SHADOW_ON_100000_MAY_M5_20260501_20260529,GOLD#2026.05.22T01:07:59#34#0#2,V1_MOSTLY_IDENTICAL,2026.05.22 17:02:29,-5903.00,7758.40,1855.40,76.1,-6250.00,NA,NO_ANCHOR,NA
W3_ON_ML_C_SHADOW_ON_50000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.01T15:08:04#10#0#2,V1_MOSTLY_IDENTICAL,2026.04.01 15:27:41,-3161.00,4129.84,968.84,76.5,-3101.00,NA,hard stop emergency close,-4464.00
W3_ON_ML_C_SHADOW_ON_50000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.13T03:05:02#24#0#2,V1_MOSTLY_IDENTICAL,2026.04.13 03:47:36,-2751.00,3563.76,812.76,77.2,-2677.00,NA,hard stop emergency close,-3564.00
W3_ON_ML_C_SHADOW_ON_50000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.20T09:56:04#40#0#2,V1_MOSTLY_IDENTICAL,2026.04.20 10:18:40,-2642.00,3424.40,782.40,77.2,-2572.00,NA,hard stop emergency close,-3435.00
W3_ON_ML_C_SHADOW_ON_50000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.01T02:46:04#74#0#2,V1_MOSTLY_IDENTICAL,2026.05.01 04:22:23,-2524.00,3216.80,692.80,78.5,-2796.00,NA,hard stop emergency close,-3264.00
W3_ON_ML_C_SHADOW_ON_50000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.11T13:12:28#126#0#2,V1_MOSTLY_IDENTICAL,2026.05.11 15:21:37,-3075.00,3535.76,460.76,87.0,-3001.00,NA,hard stop emergency close,-3742.00
W3_ON_ML_C_SHADOW_ON_50000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.15T19:31:03#152#0#2,V1_MOSTLY_IDENTICAL,2026.05.15 20:21:40,-2711.00,3503.92,792.92,77.4,-2628.00,NA,hard stop emergency close,-3607.00
W3_ON_ML_C_SHADOW_ON_50000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.25T04:41:05#156#0#2,V1_MOSTLY_IDENTICAL,2026.05.25 08:43:42,-2502.00,3215.68,713.68,77.8,-2952.00,NA,NO_ANCHOR,NA
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.03T03:45:23#8#0#2,NEW_BASELINE,2026.03.03 03:47:44,-2896.00,3728.96,832.96,77.7,-3038.00,NA,hard stop emergency close,-4005.00
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.11T03:51:04#12#0#2,NEW_BASELINE,2026.03.11 04:10:01,-2661.00,3426.40,765.40,77.7,-2583.00,NA,hard stop emergency close,-3609.00
