run_id,basket_uid,baseline_tag,detect_time,detect_floating,threshold_yen,detect_overshoot_yen,close_time,detect_to_close_min,close_request_count,first_request_time,request_span_min,threshold_gap_yen_at_close,final_pl_anchor,close_reason
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.02T05:51:59#32#0#2,V1_IDENTICAL,2026.06.15 01:02:00,-8496.00,8483.92,-12,2026.06.15 01:02:00,0.0,1,2026-06-15T01:02:00,0,0.00,-8496.00,hard stop emergency close
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.16T05:49:40#40#0#2,V1_IDENTICAL,2026.06.25 01:00:00,-7967.00,7868.24,-99,2026.06.25 01:05:00,5.0,724,2026-06-25T01:00:00,5.0,10.00,-7957.00,hard stop emergency close
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.01T19:30:02#30#0#2,V1_IDENTICAL,2026.06.05 01:00:00,-4574.00,4451.92,-122,2026.06.05 01:05:00,5.0,549,2026-06-05T01:00:00,5.0,7.00,-4567.00,hard stop emergency close
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.08T02:00:59#34#0#2,V1_IDENTICAL,2026.06.12 01:00:00,-4129.00,4086.56,-42,2026.06.12 01:05:00,5.0,1034,2026-06-12T01:00:00,5.0,9.00,-4120.00,hard stop emergency close
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.15T08:32:53#50#0#2,V1_IDENTICAL,2026.06.19 01:00:00,-3916.00,3902.64,-13,2026.06.19 01:05:00,5.0,539,2026-06-19T01:00:00,5.0,-1.00,-3917.00,hard stop emergency close
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.22T03:11:03#58#0#2,V1_IDENTICAL,2026.06.25 01:00:00,-3840.00,3637.84,-202,2026.06.25 01:05:00,5.0,724,2026-06-25T01:00:00,5.0,6.00,-3834.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.02T03:51:04#26#1#1,V1_MOSTLY_IDENTICAL,2026.04.02 04:04:43,-8397.00,8388.56,-8,2026.04.02 04:04:43,0.0,1,2026-04-02T04:04:43,0,0.00,-8397.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.06T03:45:09#32#0#2,V1_MOSTLY_IDENTICAL,2026.04.17 23:54:00,-7794.00,7781.60,-12,2026.04.17 23:54:00,0.0,1,2026-04-17T23:54:00,0,0.00,-7794.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.21T03:59:02#58#0#2,V1_MOSTLY_IDENTICAL,2026.04.30 01:00:00,-7602.00,7512.88,-89,2026.04.30 01:05:00,5.0,895,2026-04-30T01:00:00,5.0,33.00,-7569.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.06T01:53:19#90#0#2,V1_MOSTLY_IDENTICAL,2026.05.14 01:00:00,-7392.00,7360.48,-32,2026.05.14 01:05:00,5.0,618,2026-05-14T01:00:00,5.0,23.00,-7369.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.02T02:52:01#2#1#1,V1_MOSTLY_IDENTICAL,2026.03.02 03:29:36,-8018.00,8000.00,-18,2026.03.02 03:29:36,0.0,1,2026-03-02T03:29:36,0,0.00,-8018.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.05T06:25:00#56#1#1,V1_MOSTLY_IDENTICAL,2026.03.05 08:10:28,-8201.00,8197.68,-3,2026.03.05 08:10:28,0.0,1,2026-03-05T08:10:28,0,0.00,-8201.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.11T05:11:25#118#0#2,V1_MOSTLY_IDENTICAL,2026.03.26 00:00:00,-8694.00,8510.72,-183,2026.03.26 01:05:00,65.0,11829,2026-03-26T00:00:00,65.0,32.00,-8662.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.02T03:51:04#196#1#1,V1_MOSTLY_IDENTICAL,2026.04.02 04:05:42,-9019.00,9013.84,-5,2026.04.02 04:05:42,0.0,1,2026-04-02T04:05:42,0,0.00,-9019.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.06T03:45:09#202#0#2,V1_MOSTLY_IDENTICAL,2026.04.20 01:01:00,-8446.00,8357.12,-89,2026.04.20 01:06:00,5.0,1235,2026-04-20T01:01:00,5.0,-11.00,-8457.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.21T03:59:02#210#0#2,V1_MOSTLY_IDENTICAL,2026.05.04 01:01:00,-7892.00,7745.12,-147,2026.05.04 01:06:00,5.0,804,2026-05-04T01:01:00,5.0,17.00,-7875.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.06T01:53:19#220#0#2,V1_MOSTLY_IDENTICAL,2026.05.14 01:00:00,-7392.00,7211.76,-180,2026.05.14 01:05:00,5.0,618,2026-05-14T01:00:00,5.0,23.00,-7369.00,hard stop emergency close
