run_id,basket_uid,baseline_tag,close_reason,final_pl_anchor,worst_prehedge,worst_posthedge,worst_lifecycle,recovery_from_worst
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T04:45:24#2#-1#1,V1_IDENTICAL,basket close,410.00,-65.00,-65.00,-65.00,475
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T05:08:09#4#-1#1,V1_IDENTICAL,basket close,400.00,-89.00,-86.00,-89.00,489
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T05:13:59#6#-1#1,V1_IDENTICAL,basket close,410.00,-380.00,-91.00,-380.00,790
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T05:38:00#8#-1#1,V1_IDENTICAL,basket close,405.00,-195.00,-94.00,-195.00,600
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T06:31:26#10#-1#1,V1_IDENTICAL,basket close,405.00,-252.00,-89.00,-252.00,657
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T07:03:00#12#-1#1,V1_IDENTICAL,basket close,400.00,-159.00,-89.00,-159.00,559
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T07:19:19#14#-1#1,V1_IDENTICAL,basket close,403.00,-97.00,-75.00,-97.00,500
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T07:56:19#16#-1#1,V1_IDENTICAL,basket close,400.00,-1765.00,-78.00,-1765.00,2165
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T09:29:52#18#-1#1,V1_IDENTICAL,basket close,400.00,-179.00,-94.00,-179.00,579
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T10:09:25#20#-1#1,V1_IDENTICAL,basket close,402.00,-261.00,-78.00,-261.00,663
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T10:33:20#22#-1#1,V1_IDENTICAL,basket close,400.00,-83.00,-83.00,-83.00,483
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T11:00:23#24#-1#1,V1_IDENTICAL,basket close,403.00,-91.00,-89.00,-91.00,494
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T11:57:06#26#-1#1,V1_IDENTICAL,basket close,403.00,-1434.00,-83.00,-1434.00,1837
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.01T12:36:59#28#-1#1,V1_IDENTICAL,basket close,408.00,-2682.00,-83.00,-2682.00,3090
